news,bias
WE HUNTED THE MAMMOTH,-2
WEAR YOUR VOICE,-2
WEASEL ZIPPERS,2
WEEKLY STANDARD,2
WENY NEWS,0
WEST CENTRAL TRIBUNE,1
WESTERN FREE PRESS,2
WESTERN MASS NEWS,-1
WESTMONSTER,2
WETM – MYTWINTIERS.COM,0
WFMYNEWS2.COM,0
WFMZ,0
WGHP – FOX8,0
WGN NEWS,0
WHATFINGER,2
WHITE HOUSE WATCH,-2
WHITEHOUSE.GOV,-1
WHO.WHAT.WHY,-2
WICHITA EAGLE,1
WIKILEAKS,-1
WIKINEWS,0
WIKIPEDIA,0
WIKITRIBUNE,0
WILLIAMSPORT SUN-GAZETTE,1
WILLOUGHBY NEWS-HERALD,1
WINDSOR STAR,1
WINGS OVER SCOTLAND,-1
WINNIPEG FREE PRESS,0
WINONA DAILY NEWS,0
WINSTON-SALEM JOURNAL,0
WION,0
WIRED MAGAZINE,-1
WISCONSIN STATE JOURNAL,0
WISH-TV,-1
WLOS,1
WMUR9,0
WNYC,-1
WOFL,0
WONKETTE,-2
WOODROW WILSON INTERNATIONAL CENTER,-1
WORKERS WORLD,-2
WORLD ECONOMIC FORUM,0
WORLD MAGAZINE,2
WORLD NEWS,0
WORLD POLICY INSTITUTE,-1
WORLD POLITICS REVIEW,0
WORLD POPULATION REVIEW,0
WORLD PRESS REVIEW,0
WORLD RESOURCES INSTITUTE,-1
WORLD SOCIALIST WEB SITE,-2
WORLD TRIBUNE,2
WORLDCRUNCH,-1
WORLDOMETER,0
WPEC – CBS12.COM,1
WPXI,0
WRAL,0
WRC-TV,-1
WSAZ NEWS CHANNEL,0
WSVN,-1
WTAE PITTSBURGH’S ACTION NEWS,0
WTVF – NEWSCHANNEL5,0
WTXF-TV FOX 29,0
WUSA9.COM,0
WVEC – 13NEWSNOW.COM,0
WXIA – 11ALIVE.COM,0
XINHUA NEWS AGENCY,-1
YAHOO NEWS,-1
YALEGLOBAL ONLINE,-1
YANKEE INSTITUTE FOR PUBLIC POLICY,1
YELLOW HAMMER NEWS,2
YES MAGAZINE,-2
YNETNEWS,-1
YORK DAILY RECORD,-1
YORK DISPATCH,-1
YOUNG AMERICAS FOUNDATION,2
YOUNG CONSERVATIVES,2
YOUNG TURKS,-2
YOUR BLACK WORLD,-2
YOUTH RADIO,-1
Z MAGAZINE,-2
ZDNET,0
ZEBRA FACT CHECK,1
